record_id,brand,model,capacity_ps,energy_per_cycle_kwh,water_per_cycle_l,noise_dba,programme_duration_min,warranty_months,energy_class,source_url,source_method,source_note
EPREL-1576176,Siemens,SN23EC03ME,14,0.645,9.0,42,255,,,https://eprel.ec.europa.eu/screen/product/dishwashers2019/1576176,official_product_page,Official EPREL product page; empirical values verified in session/audit.
EPREL-1273558,Whirlpool,W8I HF58 TU UK,14,0.644,9.5,38,255,,,https://eprel.ec.europa.eu/screen/product/dishwashers2019/1273558,official_product_page,Official EPREL product page; empirical values verified in session/audit.
EPREL-295434,Miele,G 5260 SCVi Active Plus,14,0.74,8.9,45,258,,,https://eprel.ec.europa.eu/screen/product/dishwashers2019/295434,official_product_page,Official EPREL product page; empirical values verified in session/audit.
EPREL-1546635,LG,DF355FP,14,0.747,9.5,41,255,,,https://eprel.ec.europa.eu/screen/product/dishwashers2019/1546635,official_product_page,Official EPREL product page; empirical values verified in session/audit.
EPREL-1580699,Samsung,DW60CG550B00,14,0.848,10.5,44,264,,,https://eprel.ec.europa.eu/screen/product/dishwashers2019/1580699,official_product_page,Official EPREL product page; empirical values verified in session/audit.
EPREL-1405065,Indesit,D2I HD526 UK,14,0.95,9.5,46,255,,,https://eprel.ec.europa.eu/screen/product/dishwashers2019/1405065,official_product_page,Official EPREL product page; empirical values verified in session/audit.
EPREL-2180764,Whirlpool,WH6IA14BN7A0,14,0.542,9.5,41,255,,,https://eprel.ec.europa.eu/screen/product/dishwashers2019/2180764,official_product_page,Official EPREL product page; empirical values verified in session/audit.
EPREL-1641027,IKEA of Sweden,ÖSTVEDA 50568146,14,0.74,9.5,42,235,,,https://eprel.ec.europa.eu/screen/product/dishwashers2019/1641027,official_product_page,Official EPREL product page; empirical values verified in session/audit.
EPREL-227529,IKEA of Sweden,DISKAD 00475418,14,0.849,9.5,42,195,,,https://eprel.ec.europa.eu/screen/product/dishwashers2019/227529,official_product_page,Official EPREL product page; empirical values verified in session/audit.
EPREL-1682839,IKEA of Sweden,LAGAN 20568020,14,0.95,9.5,46,190,,,https://eprel.ec.europa.eu/screen/product/dishwashers2019/1682839,official_product_page,Official EPREL product page; empirical values verified in session/audit.
EPREL-2064127,LG,DF587HVS,14,0.489,9.5,43,405,,,https://eprel.ec.europa.eu/screen/product/dishwashers2019/2064127,official_product_page,Official EPREL product page; empirical values verified in session/audit.
EPREL-1656051,Bosch,SMD6YCX01G,14,0.543,9.5,44,295,,,https://eprel.ec.europa.eu/screen/product/dishwashers2019/1656051,official_product_page,Official EPREL product page; empirical values verified in session/audit.
EPREL-2038560,Bosch,SMS4ECI28E,14,0.543,9.0,42,270,,,https://eprel.ec.europa.eu/screen/product/dishwashers2019/2038560,official_product_page,Official EPREL product page; empirical values verified in session/audit.
EPREL-1806358,Bosch,SMU6ZCS10S,14,0.645,9.0,40,215,,,https://eprel.ec.europa.eu/screen/product/dishwashers2019/1806358,official_product_page,Official EPREL product page; empirical values verified in session/audit.
EPREL-2250705,ASKO,DFI544H/1,14,0.54,9.4,42,275,,,https://eprel.ec.europa.eu/screen/product/dishwashers2019/2250705,official_product_page,Official EPREL product page; empirical values verified in session/audit.
EPREL-2250711,ASKO,DFI544B,14,0.54,9.4,42,275,,,https://eprel.ec.europa.eu/screen/product/dishwashers2019/2250711,official_product_page,Official EPREL product page; empirical values verified in session/audit.
EPREL-2350311,Miele,G 7658 SCVi XXL AutoDos,14,0.488,8.2,41,270,,,https://eprel.ec.europa.eu/screen/product/dishwashers2019/2350311,official_product_page,Official EPREL product page; empirical values verified in session/audit.
EPREL-1586891,Miele,G 7760 SCVi AutoDos,14,0.54,8.4,41,230,,,https://eprel.ec.europa.eu/screen/product/dishwashers2019/1586891,official_product_page,Official EPREL product page; empirical values verified in session/audit.
EPREL-415960,Beko,BDFN26430WC,14,0.849,9.5,44,230,,,https://eprel.ec.europa.eu/screen/product/dishwashers2019/415960,official_product_page,Official EPREL product page; empirical values verified in session/audit.
EPREL-2186751,Beko,BDFN26440WP,14,0.747,8.5,41,234,,,https://eprel.ec.europa.eu/screen/product/dishwashers2019/2186751,official_product_page,Official EPREL product page; empirical values verified in session/audit.
IDX-BOSCH-SMS6YCW15E,Bosch,SMS6YCW15E,14,0.54,9.0,40,295,,,https://eprel.ec.europa.eu/screen/product/dishwashers2019,official_category_index,Official EPREL public dishwasher category index; stable internal ID assigned from supplier+model because extracted category index view did not expose a registration number in the returned text.
IDX-BOSCH-SMS4EVW11E,Bosch,SMS4EVW11E,14,0.65,9.0,44,235,,,https://eprel.ec.europa.eu/screen/product/dishwashers2019,official_category_index,Official EPREL public dishwasher category index; stable internal ID assigned from supplier+model because extracted category index view did not expose a registration number in the returned text.
IDX-PHILCO-PD1467BIX,PHILCO,PD 1467 BIX,14,0.75,9.8,44,220,,,https://eprel.ec.europa.eu/screen/product/dishwashers2019,official_category_index,Official EPREL public dishwasher category index; stable internal ID assigned from supplier+model because extracted category index view did not expose a registration number in the returned text.
IDX-SIEMENS-SX65EX16CE,Siemens,SX65EX16CE,14,0.49,9.0,42,295,,,https://eprel.ec.europa.eu/screen/product/dishwashers2019,official_category_index,Official EPREL public dishwasher category index; stable internal ID assigned from supplier+model because extracted category index view did not expose a registration number in the returned text.
