run_id,instance_id,scenario_id,arm,model_id,status,error,recommendation_id,reference_top1,rank,normalized_regret,exact_top1,candidate_valid,canonical_valid,solver_nonempty,s3_semantics_valid,s2_constraint_valid
S1-01__A__nvidia_nemotron-3-ultra-550b-a55b_free,S1-01,S1,A,nvidia/nemotron-3-ultra-550b-a55b:free,protocol_failure,invalid_or_unknown_recommendation,,EPREL-2350311,,,,0,0,0,,
S1-01__B__nvidia_nemotron-3-ultra-550b-a55b_free,S1-01,S1,B,nvidia/nemotron-3-ultra-550b-a55b:free,protocol_failure,Expecting value: line 1 column 1 (char 0),,EPREL-2350311,,,,0,0,0,,
S1-01__C__nvidia_nemotron-3-ultra-550b-a55b_free,S1-01,S1,C,nvidia/nemotron-3-ultra-550b-a55b:free,success,,,EPREL-2350311,,,,0,0,0,,
S1-01__D__nvidia_nemotron-3-ultra-550b-a55b_free,S1-01,S1,D,nvidia/nemotron-3-ultra-550b-a55b:free,protocol_failure,,,EPREL-2350311,,,,0,0,0,,
S1-02__A__nvidia_nemotron-3-ultra-550b-a55b_free,S1-02,S1,A,nvidia/nemotron-3-ultra-550b-a55b:free,protocol_failure,invalid_or_unknown_recommendation,,IDX-BOSCH-SMS6ECI13E,,,,0,0,0,,
S1-02__B__nvidia_nemotron-3-ultra-550b-a55b_free,S1-02,S1,B,nvidia/nemotron-3-ultra-550b-a55b:free,protocol_failure,Expecting value: line 1 column 1 (char 0),,IDX-BOSCH-SMS6ECI13E,,,,0,0,0,,
S1-02__C__nvidia_nemotron-3-ultra-550b-a55b_free,S1-02,S1,C,nvidia/nemotron-3-ultra-550b-a55b:free,success,,,IDX-BOSCH-SMS6ECI13E,,,,0,0,0,,
S1-02__D__nvidia_nemotron-3-ultra-550b-a55b_free,S1-02,S1,D,nvidia/nemotron-3-ultra-550b-a55b:free,protocol_failure,,,IDX-BOSCH-SMS6ECI13E,,,,0,0,0,,
S1-03__A__nvidia_nemotron-3-ultra-550b-a55b_free,S1-03,S1,A,nvidia/nemotron-3-ultra-550b-a55b:free,protocol_failure,invalid_or_unknown_recommendation,,IDX-BOSCH-SBV6YCX0ME,,,,0,0,0,,
S1-03__B__nvidia_nemotron-3-ultra-550b-a55b_free,S1-03,S1,B,nvidia/nemotron-3-ultra-550b-a55b:free,protocol_failure,Expecting value: line 1 column 1 (char 0),,IDX-BOSCH-SBV6YCX0ME,,,,0,0,0,,
