run_id,instance_id,model_id,record_id,field_name,cited_value,supported
S1-09__B__nvidia_nemotron-3-ultra-550b-a55b_free,S1-09,nvidia/nemotron-3-ultra-550b-a55b:free,EPREL-2186751,energy_per_cycle_kwh,0.747,False
S1-09__B__nvidia_nemotron-3-ultra-550b-a55b_free,S1-09,nvidia/nemotron-3-ultra-550b-a55b:free,EPREL-2186751,water_per_cycle_l,8.5,False
S1-09__B__nvidia_nemotron-3-ultra-550b-a55b_free,S1-09,nvidia/nemotron-3-ultra-550b-a55b:free,EPREL-2186751,noise_dba,41,False
S1-09__B__nvidia_nemotron-3-ultra-550b-a55b_free,S1-09,nvidia/nemotron-3-ultra-550b-a55b:free,EPREL-2186751,programme_duration_min,234,False
S4-02__B__nvidia_nemotron-3-ultra-550b-a55b_free,S4-02,nvidia/nemotron-3-ultra-550b-a55b:free,EPREL-2180764,energy_per_cycle_kwh,0.542,False
S4-02__B__nvidia_nemotron-3-ultra-550b-a55b_free,S4-02,nvidia/nemotron-3-ultra-550b-a55b:free,EPREL-2180764,water_per_cycle_l,9.5,False
S4-02__B__nvidia_nemotron-3-ultra-550b-a55b_free,S4-02,nvidia/nemotron-3-ultra-550b-a55b:free,EPREL-2180764,noise_dba,41,False
S4-02__B__nvidia_nemotron-3-ultra-550b-a55b_free,S4-02,nvidia/nemotron-3-ultra-550b-a55b:free,EPREL-2180764,programme_duration_min,255,False
S2-06__B__nvidia_nemotron-3-super-120b-a12b_free,S2-06,nvidia/nemotron-3-super-120b-a12b:free,EPREL-2350311,energy_per_cycle_kwh,0.488,True
S2-06__B__nvidia_nemotron-3-super-120b-a12b_free,S2-06,nvidia/nemotron-3-super-120b-a12b:free,EPREL-2350311,water_per_cycle_l,8.2,True
S2-06__B__nvidia_nemotron-3-super-120b-a12b_free,S2-06,nvidia/nemotron-3-super-120b-a12b:free,EPREL-2350311,noise_dba,41,True
S2-06__B__nvidia_nemotron-3-super-120b-a12b_free,S2-06,nvidia/nemotron-3-super-120b-a12b:free,EPREL-2350311,programme_duration_min,270,True
S4-01__B__nvidia_nemotron-3-super-120b-a12b_free,S4-01,nvidia/nemotron-3-super-120b-a12b:free,EPREL-2038560,energy_per_cycle_kwh,0.543,True
S4-01__B__nvidia_nemotron-3-super-120b-a12b_free,S4-01,nvidia/nemotron-3-super-120b-a12b:free,EPREL-2088104,energy_per_cycle_kwh,0.543,True
S4-01__B__nvidia_nemotron-3-super-120b-a12b_free,S4-01,nvidia/nemotron-3-super-120b-a12b:free,EPREL-2250705,energy_per_cycle_kwh,0.54,True
S4-01__B__nvidia_nemotron-3-super-120b-a12b_free,S4-01,nvidia/nemotron-3-super-120b-a12b:free,EPREL-2253240,energy_per_cycle_kwh,0.747,True
S4-01__B__nvidia_nemotron-3-super-120b-a12b_free,S4-01,nvidia/nemotron-3-super-120b-a12b:free,EPREL-415960,energy_per_cycle_kwh,0.849,True
S4-01__B__nvidia_nemotron-3-super-120b-a12b_free,S4-01,nvidia/nemotron-3-super-120b-a12b:free,IDX-BOSCH-SMD6ECX17E,energy_per_cycle_kwh,0.49,True
S4-01__B__nvidia_nemotron-3-super-120b-a12b_free,S4-01,nvidia/nemotron-3-super-120b-a12b:free,IDX-NEFF-S289ECX0ME,energy_per_cycle_kwh,0.54,True
S4-01__B__nvidia_nemotron-3-super-120b-a12b_free,S4-01,nvidia/nemotron-3-super-120b-a12b:free,IDX-SIEMENS-SN95EX16CE,energy_per_cycle_kwh,0.49,True
S4-03__B__nvidia_nemotron-3-super-120b-a12b_free,S4-03,nvidia/nemotron-3-super-120b-a12b:free,IDX-SIEMENS-SN55ES16CE,energy_per_cycle_kwh,0.49,True
S4-04__B__nvidia_nemotron-3-super-120b-a12b_free,S4-04,nvidia/nemotron-3-super-120b-a12b:free,EPREL-1405065,brand,Indesit,True
S4-04__B__nvidia_nemotron-3-super-120b-a12b_free,S4-04,nvidia/nemotron-3-super-120b-a12b:free,EPREL-1405065,model,D2I HD526 UK,True
S4-04__B__nvidia_nemotron-3-super-120b-a12b_free,S4-04,nvidia/nemotron-3-super-120b-a12b:free,EPREL-1405065,capacity_ps,14,True
S4-04__B__nvidia_nemotron-3-super-120b-a12b_free,S4-04,nvidia/nemotron-3-super-120b-a12b:free,EPREL-1405065,energy_per_cycle_kwh,0.95,True
