run_id,instance_id,scenario_id,arm,model_id,status,recommendation_id,reference_top1,rank,normalized_regret,exact_top1,candidate_valid
S1-09__B__nvidia_nemotron-3-ultra-550b-a55b_free,S1-09,S1,B,nvidia/nemotron-3-ultra-550b-a55b:free,success,EPREL-2186751,IDX-NEFF-S289ECX0ME,2,0.0016116213470228624,0,1
S4-02__B__nvidia_nemotron-3-ultra-550b-a55b_free,S4-02,S4,B,nvidia/nemotron-3-ultra-550b-a55b:free,success,EPREL-2180764,IDX-NEFF-S289ECX0ME,3,0.016105072463768244,0,1
S5-02__A__nvidia_nemotron-3-ultra-550b-a55b_free,S5-02,S5,A,nvidia/nemotron-3-ultra-550b-a55b:free,success,IDX-BOSCH-SMS6ECI13E,IDX-BOSCH-SMS6ECI13E,1,0.0,1,1
S5-05__A__nvidia_nemotron-3-ultra-550b-a55b_free,S5-05,S5,A,nvidia/nemotron-3-ultra-550b-a55b:free,success,IDX-SIEMENS-SX87EX01CE,IDX-SIEMENS-SX87EX01CE,1,0.0,1,1
S5-06__A__nvidia_nemotron-3-ultra-550b-a55b_free,S5-06,S5,A,nvidia/nemotron-3-ultra-550b-a55b:free,success,EPREL-2350311,EPREL-2350311,1,0.0,1,1
S1-10__A__nvidia_nemotron-3-super-120b-a12b_free,S1-10,S1,A,nvidia/nemotron-3-super-120b-a12b:free,success,EPREL-1641027,IDX-BOSCH-SMS6ECI13E,8,0.5406491680337473,0,1
S2-04__A__nvidia_nemotron-3-super-120b-a12b_free,S2-04,S2,A,nvidia/nemotron-3-super-120b-a12b:free,success,EPREL-2350311,EPREL-2350311,1,0.0,1,1
S2-05__A__nvidia_nemotron-3-super-120b-a12b_free,S2-05,S2,A,nvidia/nemotron-3-super-120b-a12b:free,success,EPREL-2350311,EPREL-2350311,1,0.0,1,1
S2-06__B__nvidia_nemotron-3-super-120b-a12b_free,S2-06,S2,B,nvidia/nemotron-3-super-120b-a12b:free,success,EPREL-2350311,EPREL-2350311,1,0.0,1,1
S4-01__A__nvidia_nemotron-3-super-120b-a12b_free,S4-01,S4,A,nvidia/nemotron-3-super-120b-a12b:free,success,IDX-BOSCH-SMD6ECX17E,EPREL-2038560,4,0.017010009489118016,0,1
S4-01__B__nvidia_nemotron-3-super-120b-a12b_free,S4-01,S4,B,nvidia/nemotron-3-super-120b-a12b:free,success,EPREL-2038560,EPREL-2038560,1,0.0,1,1
S4-03__B__nvidia_nemotron-3-super-120b-a12b_free,S4-03,S4,B,nvidia/nemotron-3-super-120b-a12b:free,success,IDX-SIEMENS-SN55ES16CE,IDX-AEG-GU8200A2SNW,5,0.14290890269151135,0,1
S4-04__A__nvidia_nemotron-3-super-120b-a12b_free,S4-04,S4,A,nvidia/nemotron-3-super-120b-a12b:free,success,IDX-AEG-GN851XT,IDX-AEG-GN851XT,1,0.0,1,1
S4-04__B__nvidia_nemotron-3-super-120b-a12b_free,S4-04,S4,B,nvidia/nemotron-3-super-120b-a12b:free,success,EPREL-1405065,IDX-AEG-GN851XT,7,0.45907738095238093,0,1
S4-05__A__nvidia_nemotron-3-super-120b-a12b_free,S4-05,S4,A,nvidia/nemotron-3-super-120b-a12b:free,success,IDX-BOSCH-SMI6ECS17E,IDX-BOSCH-SBV6YCX0ME,4,0.026253481894150443,0,1
S4-06__A__nvidia_nemotron-3-super-120b-a12b_free,S4-06,S4,A,nvidia/nemotron-3-super-120b-a12b:free,success,EPREL-2350311,EPREL-2350311,1,0.0,1,1
S4-06__B__nvidia_nemotron-3-super-120b-a12b_free,S4-06,S4,B,nvidia/nemotron-3-super-120b-a12b:free,success,EPREL-1806358,EPREL-2350311,2,0.17270474457974472,0,1
S5-01__B__nvidia_nemotron-3-super-120b-a12b_free,S5-01,S5,B,nvidia/nemotron-3-super-120b-a12b:free,success,EPREL-2250711,IDX-BOSCH-SMS6ECI13E,,,,1
S5-02__B__nvidia_nemotron-3-super-120b-a12b_free,S5-02,S5,B,nvidia/nemotron-3-super-120b-a12b:free,success,EPREL-2064127,IDX-BOSCH-SMS6ECI13E,4,0.48136904761904753,0,1
